county,year,ces_score
Los Angeles,2014,51.1684702548621
San Bernardino,2014,51.1583068886261
Los Angeles,2014,51.154490216850895
Sacramento ,2014,51.115038361816495
Los Angeles,2014,51.1099332015857
Los Angeles,2014,51.102351448471
San Bernardino,2014,51.0897200184658
Los Angeles,2014,51.0294717123253
Los Angeles,2014,51.0256643633639
Los Angeles,2014,50.9995690138777
Los Angeles,2014,50.9819273525632
Los Angeles,2014,50.977550858418496
Santa Clara,2014,50.9656324850856
San Bernardino,2014,50.9118155346338
Los Angeles,2014,50.8758227206789
Los Angeles,2014,50.87196080806
Los Angeles,2014,50.8695865141598
Los Angeles,2014,50.824481027680896
Los Angeles,2014,50.823094284327
Riverside ,2014,50.8013526888789
Los Angeles,2014,50.7884087178408
Los Angeles,2014,50.7803425437627
Riverside ,2014,50.7438325404137
Los Angeles,2014,50.72088851616
Los Angeles,2014,50.7178747780213
Los Angeles,2014,50.62859107228
Los Angeles,2014,50.6243094314664
Los Angeles,2014,50.614351242724
Los Angeles,2014,50.6082594138347
Riverside ,2014,50.5644148253219
Los Angeles,2014,50.5616197827569
Riverside ,2014,50.5430757234614
Los Angeles,2014,50.5061844422254
Los Angeles,2014,50.4860258479598
Los Angeles,2014,50.4284647169092
Los Angeles,2014,50.3991175195808
Los Angeles,2014,50.390388619426496
Los Angeles,2014,50.3856608189813
Los Angeles,2014,50.3500036263226
Los Angeles,2014,50.3469413591586
Los Angeles,2014,50.287774776582
Orange ,2014,50.283656159025696
Los Angeles,2014,50.2790927928582
Los Angeles,2014,50.230320404347694
Los Angeles,2014,50.2299113973888
Los Angeles,2014,50.2194202586578
San Bernardino,2014,50.20551147718
Los Angeles,2014,50.178559323311696
Los Angeles,2014,50.1713336638884
San Bernardino,2014,50.1504720412745
Los Angeles,2014,50.1458077997422
Los Angeles,2014,50.1267029605991
Los Angeles,2014,50.124239306269
Los Angeles,2014,50.114217344440895
Orange ,2014,50.1061734443288
Los Angeles,2014,50.0962493846439
Los Angeles,2014,50.0523513789278
Los Angeles,2014,49.9725916203808
Los Angeles,2014,49.96216021065
Los Angeles,2014,49.9125503688952
Riverside ,2014,49.91006231147
Los Angeles,2014,49.906867937515
Los Angeles,2014,49.8908516961857
Los Angeles,2014,49.862697226897296
Orange ,2014,49.8622057886268
Los Angeles,2014,49.8454574796441
Los Angeles,2014,49.8301292619722
Los Angeles,2014,49.8206007541582
Los Angeles,2014,49.81850056358169
Los Angeles,2014,49.7994808392088
San Bernardino,2014,49.7748189479327
Sacramento ,2014,49.7715112387982
Los Angeles,2014,49.7432215257179
Los Angeles,2014,49.7038363288021
Los Angeles,2014,49.6996777743273
Los Angeles,2014,49.6931535936494
Los Angeles,2014,49.666965797126
Los Angeles,2014,49.6341678736603
