census_tract,2014_traffic,2019_traffic,2021_traffic,2014_asthma,2019_asthma,2021_asthma,delta_traffic,delta_asthma
6001407101,36.983909192964894,20.4160922421356,10.95,94.3495072969939,94.7388106221169,97.1585244267198,-26.033909192964895,2.8090171297258877
6001407102,32.6930273169515,24.9404687304173,9.575,94.3495072969939,94.16531604538088,95.5508474576271,-23.1180273169515,1.201340160633194
6001407200,47.698640389173,19.8897104900363,20.95,94.3495072969939,94.7388106221169,97.1585244267198,-26.748640389173,2.8090171297258877
6001407300,74.7910689784209,80.837197643815,81.225,96.8317325682924,92.6941777833188,95.2891326021934,6.433931021579099,-1.5425999660989902
6001407400,46.1519271547961,8.94848978568743,12.0,94.3495072969939,94.7388106221169,97.1585244267198,-34.1519271547961,2.8090171297258877
6001407500,43.8069103155794,5.96565985712495,26.325,98.652862666833,93.3175414536841,95.5757726819541,-17.481910315579402,-3.0770899848788957
6001407600,43.3329175502058,16.0170447424489,8.925,93.0896844206062,92.20795412043388,95.4760717846461,-34.407917550205795,2.3863873640398907
6001407700,28.8511912186604,14.187241508961,7.4,95.69664463016088,83.1691809001371,87.1136590229312,-21.451191218660398,-8.582985607229674
6001407800,87.6013471373332,92.22960270710621,84.25,88.7988025445927,67.8843037027802,69.4666001994018,-3.3513471373332067,-19.332202345190908
6001407900,80.9779219159286,85.91302168191501,81.4625,84.3582387426718,86.261064705149,87.425224327019,0.48457808407140135,3.0669855843471936
6001408000,45.0293127104902,19.864644692317295,24.575,79.5684171136335,54.107966587707296,50.7602193419741,-20.454312710490203,-28.8081977716594
6001408100,59.7106149432456,55.7212683293646,71.2125,95.7839590869403,86.1862610647051,88.21036889332,11.501885056754404,-7.573590193620305
6001408200,49.1580391667706,17.5961899987467,16.4,99.31395783959088,99.4265054232639,99.6261216350947,-32.7580391667706,0.312163795503821
6001408300,80.30435324934508,95.60095250031328,90.1125,99.33890482724208,99.4265054232639,99.6261216350947,9.808146750654913,0.28721680785263004
6001408400,54.459274042659295,9.78819400927435,13.5125,99.33890482724208,99.4265054232639,99.6261216350947,-40.9467740426593,0.28721680785263004
6001408500,44.8172633154547,20.8547437022183,23.5,99.2515903704628,97.71848896646304,99.1774675972084,-21.317263315454703,-0.07412277325438765
6001408600,49.5821379568417,16.3303672139366,19.075,99.2640638642884,97.65615259942648,99.2397806580259,-30.5071379568417,-0.024283206262509793
6001408700,37.9942621928402,9.71299661611731,11.3625,99.276537358114,98.042638075053,99.2023928215354,-26.631762192840203,-0.07414453657860065
6001408800,52.6256704502931,22.245895475623495,38.1,99.23911687663708,99.06495449445208,99.6759720837488,-14.525670450293099,0.4368552071117193
6001408900,50.6548584258451,27.7979696703848,33.575,99.23911687663708,99.06495449445208,99.6759720837488,-17.079858425845096,0.4368552071117193
6001409000,83.12336285393539,81.2006517107407,82.275,99.638268679057,98.5413290113452,99.5388833499501,-0.8483628539353845,-0.09938532910690867
6001409100,95.06049644505428,92.26720140368467,98.4875,99.738056629662,99.713252711632,99.9376869391825,3.4270035549457134,0.19963030952050076
6001409200,99.738056629662,99.72427622509089,99.1375,98.914806037171,93.9035033038274,96.4855433698903,-0.6005566296619946,-2.4292626672807103
6001409300,50.854434327055,14.5757613736057,30.25,99.6507421728826,99.2893654157836,99.8878364905284,-20.604434327055003,0.23709431764579847
6001409400,51.4282150430336,13.8112545431758,33.775,99.6756891605339,99.0150854008228,99.5762711864407,-17.653215043033605,-0.09941797409319975
6001409500,28.5393538730198,16.067176337887,14.075,99.23911687663708,99.06495449445208,99.6759720837488,-14.4643538730198,0.4368552071117193
6001409600,29.4374454284645,16.3053014162176,8.0875,99.38879880254464,99.0026181274155,99.5139581256231,-21.3499454284645,0.12515932307846356
6001409700,40.2020705999751,5.4518110038852,5.475,99.6133216914058,98.0177035282384,98.3300099700897,-34.7270705999751,-1.283311721316096
6001409800,82.03816889110638,92.9815766386765,83.6125,99.3513783210677,99.4265054232639,99.5887337986042,1.5743311088936167,0.23735547753649655
6001409900,68.3547461644007,71.2871287128713,76.8375,99.10190844455528,98.8779453933425,99.5014955134596,8.482753835599311,0.3995870689043244
6001410000,77.89696894100038,84.4466725153528,83.6875,99.0021204939504,97.7932926069069,99.1525423728814,5.790531058999619,0.1504218789309988
6001410100,84.4330797056255,82.91765885449308,84.3,99.3638518148934,98.6161326517891,99.4017946161515,-0.13307970562550508,0.03794280125811156
6001410200,42.0481476861669,7.908259180348409,14.5125,99.70063614818508,99.4639072434858,99.339481555334,-27.5356476861669,-0.3611545928510793
6001410300,46.3140825745291,6.99335756360446,31.15,99.738056629662,99.713252711632,99.9376869391825,-15.164082574529104,0.19963030952050076
6001410400,39.1418236247973,6.19125203659607,15.625,99.7131096420107,99.6883181648174,99.5638085742772,-23.516823624797297,-0.1493010677335036
