census_tract,latitude,longitude,delta_2014_2021
6007001704,39.960108,-121.5013525,-6.820430736643502
6007001800,39.7817973,-121.6098642,-0.7272591348831021
6007001900,39.7841664,-121.5758491,-2.7644733672360005
6007002000,39.7589033,-121.5862872,5.3529240545839
6007002100,39.7551658,-121.638031,2.3177928286046985
6007002200,39.674685,-121.6824752,3.5561321199195035
6007002300,39.6722796,-121.5902502,-7.747186967126199
6007002400,39.6655389,-121.3519555,7.7799104006316
6007002500,39.5808681,-121.5372499,-0.30520591085799964
6007002601,39.4867836,-121.4581641,1.9827878014326004
6007002602,39.5302628,-121.4669098,3.0212244492254996
6007002700,39.5228652,-121.5269455,6.961882119157298
6007002800,39.5071861,-121.5606959,11.184363576240898
6007002900,39.5191072,-121.5980004,9.6110254383667
6007003001,39.4956403,-121.5403556,11.431921939115202
6007003002,39.477074,-121.5601305,9.212928771657491
6007003100,39.4895646,-121.509062,2.9281962321655985
6007003200,39.429744,-121.5309393,6.745861012091098
6007003300,39.3923244,-121.5065211,-9.550398033718999
6007003400,39.3453317,-121.6578142,-3.8232740370139027
6007003501,39.3792483,-121.7370059,1.255791971524502
6007003502,39.3257871,-121.7897864,6.9325467622233
6007003600,39.4540994,-121.7723641,-0.1555062437144059
6007003700,39.5164559,-121.6460664,6.6159953813234935
6009000120,37.9756396,-120.6736779,2.594478763676598
6009000121,38.0706597,-120.5609618,-0.5154757273970993
6009000122,38.1257461,-120.4761869,-2.4642302334841997
6009000210,38.1930259,-120.8741765,0.7460993243192995
6009000220,38.1081725,-120.773333,5.4227043318265
6009000300,38.2401676,-120.5813938,7.6489817965572975
6009000400,38.3647246,-120.449,2.33375031041
6009000501,38.1924839,-120.3934638,-2.5701224730055596
6009000503,38.2341994,-120.3311458,1.6450128308626706
6011000100,39.003105,-122.0142763,3.091128899992995
6011000200,39.1863211,-122.0259021,3.3049546134481
6011000300,39.1078478,-122.2818535,4.656684564690199
6011000400,39.2881333,-122.4155716,-10.7734846662004
6011000500,39.314744,-121.9636465,-0.9805231627544977
6013301000,38.0381229,-121.6299682,-0.1737385403988938
6013302005,37.9993161,-121.732928,-4.606866582881196
6013302006,38.0217527,-121.7134904,0.6520502247570015
6013302007,37.9837121,-121.7056533,-4.5162896120314
6013302008,37.9891088,-121.6702095,-1.8888437663739985
6013302009,37.9715128,-121.7478856,13.354241537564599
6013302010,37.9836864,-121.7305372,1.8152499385822995
6013303102,37.9577924,-121.7074839,3.2186293444721983
6013303103,37.9362987,-121.6710171,3.350167611041101
6013303201,37.9431268,-121.7586352,4.519637067200605
6013303202,37.9422173,-121.7147968,7.7695800627266
6013303203,37.9471133,-121.7320102,7.583081087160998
6013303204,37.9289646,-121.7087615,9.468732537650197
6013303205,37.9109334,-121.7021082,-3.624021510109298
6013304001,37.8837503,-121.7489395,5.789199028895199
6013304002,37.8582825,-121.6219157,-6.8428304429678946
6013304003,37.9016812,-121.577453,-2.8964619458031002
6013304004,37.9005821,-121.6070438,-4.365207162745799
6013304005,37.9347243,-121.595891,1.4731408239649735
6013305000,38.015682,-121.8340512,20.423031531634003
6013306002,38.0077971,-121.7619241,7.312385780572999
6013306003,38.0053331,-121.7994409,15.377625618901998
6013306004,38.0085744,-121.7845356,-3.197756665445098
6013307101,37.9865794,-121.8155925,-0.3141660819898
6013307102,38.0004738,-121.8155705,4.758356484732403
6013307201,38.0026146,-121.8485515,0.8089594496257035
6013307202,38.0037019,-121.8278001,6.204244229260496
6013307204,37.9946847,-121.8308707,1.0997974130499983
6013307205,37.9860073,-121.829459,9.661290644379502
6013308001,37.9919244,-121.7964223,9.344228180484698
6013308002,37.9886736,-121.766535,14.821136087988702
6013309000,38.0392742,-121.8641513,19.218412683739103
6013310000,38.0264843,-121.8917858,10.690400926635299
6013311000,38.0214503,-121.8936219,4.631693752819004
6013312000,38.0152346,-121.8695963,13.335666591451506
6013313101,38.00648,-121.8828347,2.2538047964961976
6013313102,38.0040446,-121.8644952,-2.4104721879853983
6013313103,37.9809405,-121.875401,5.317902448472097
6013313203,38.0037978,-121.9161635,-1.9661513910096993
6013313204,37.9889314,-121.9236578,7.432047180396701
6013313205,38.0162998,-121.9168577,9.539353769897598
6013313206,38.0139188,-121.8993314,0.8594731578598029
6013314102,38.0314621,-121.9174417,4.520069463284393
6013314103,38.0391707,-121.9435261,2.3131524816028985
6013314104,38.0232458,-121.9443678,9.0023604844908
6013314200,38.0467432,-121.9812128,18.6838506680154
6013315000,38.036962,-122.0293918,15.9220353440281
6013316000,38.0223177,-122.1389042,1.1555955975969994
6013317000,38.0176872,-122.1262172,5.030249846016201
6013318000,38.0165957,-122.1663864,0.12216804915330215
6013319000,38.0042221,-122.1215423,-0.8476367039961001
6013320001,38.0218002,-122.0963526,-3.003094163493202
6013320003,37.9987257,-122.1074312,-5.116668858412
6013320004,38.0020819,-122.0773567,7.4837607947630005
6013321101,37.9885846,-122.102737,2.6374508442207993
6013321102,37.9754127,-122.0929535,-4.726804113497542
6013321103,37.9702795,-122.1124879,-6.35692860794098
6013321200,37.9821516,-122.0713084,-7.088513962927102
