geoid,delta_2014_2021
06019006000,-7.227503098960796
06019006100,-0.4072750755743968
06019006201,-2.781278844899802
06019006202,-10.5979915805841
06019006300,-7.824985469952793
06019006402,0.3722409814573009
06019006403,-7.4323225514187
06019006404,-7.0090411706718
06019006405,-8.78787301641535
06019006501,-5.480033308799598
06019006502,3.7140376905241013
06019006602,8.168433461877598
06019006603,22.5080627359949
06019006604,8.424263555902797
06019006700,-4.724260809316199
06019006802,13.732204628746203
06019006900,-1.8244432131285961
06019007002,1.5094467441036983
06019007003,-6.6604350516232955
06019007004,0.04654494123990105
06019007100,-6.645859639711006
06019007201,-6.996186288728403
06019007202,-2.070309948457094
06019007300,-5.7373567167595
06019007400,10.636372376254798
06019007500,4.525418646764699
06019007600,3.5576986556473074
06019007700,2.1890275722220025
06019007801,-0.4609606274194036
06019007802,4.403569635277499
06019007902,8.587950556204998
06019008000,20.2170534748798
06019008100,17.9245988820465
06019008200,3.901518587786306
06019008301,10.026953173535304
06019008302,-1.3082721593385997
06019008401,14.651852831886998
06019008402,5.145475740055005
06019008501,2.3254700312413945
06019008502,-0.07284888989339322
06021010100,7.036057536578699
06021010200,-2.088542800918095
06021010300,4.737905990217403
06021010400,18.722585373642197
06021010501,-6.1416199985110005
06021010502,-6.552715703916494
06023000100,25.8699054436494
06023000200,12.452902041265551
06023000300,9.947448718260192
06023000400,8.89902624509789
06023000500,13.990837705716698
06023000600,5.475728939182202
06023000700,1.5752453174837004
06023000800,0.6329078066404996
06023000900,1.7778569212514714
06023001000,16.2996776443297
06023001101,12.9955962873243
06023001200,11.3565989191566
06023001300,16.4687105151184
06023010102,-3.3055232195204987
06023010200,-2.8621766782214006
06023010300,8.465496554825881
06023010400,3.4034874271254907
06023010501,2.3266980459116606
06023010502,8.202436627959319
06023010600,1.0583202452203988
06023010700,3.549090814087698
06023010800,-1.064302972395602
06023010901,5.470495815607002
06023010902,0.8482462902453989
06023011000,3.4237443038118975
06023011100,2.641402773110599
06023011200,-3.3390578782583002
06023011500,4.400038577260402
06023011600,5.747708404011499
06023940000,4.6385692608058795
06025010102,2.691121264582904
06025010200,13.788733659827301
06025010300,0.7193603549078986
06025010400,12.012793385084905
06025010500,14.261966493725303
06025010600,17.295465237092696
06025010700,4.207076417633502
06025010800,-4.038702935619302
06025010900,1.9502253407883003
06025011000,5.886274952932396
06025011100,2.3029925484914955
06025011201,3.5758895366308003
06025011202,7.4249665114925065
06025011300,8.851499330608
06025011400,12.1496650382106
06025011500,9.3769008409041
06025011600,4.317320980477504
06025011700,13.350170799153197
06025011801,7.769929165049499
06025011802,5.864091405752607
06025011803,8.487280992898498
06025011900,8.979982785582308
06025012001,18.0047571337672
06025012002,16.3200464145123
06025012100,23.6914072984941
06025012200,25.2011188729061
06025012301,-0.8837926798028946
06025012302,-6.9442376405377
06025012400,-15.520514178015002
06025940000,1.0391707018062988
06027000100,-2.9554516508926003
06027000200,-0.28271664813619957
06027000300,0.6324032736367604
06027000400,0.7191340209119996
06027000500,6.9866199943178735
06027000800,-2.9810528899502984
06029000101,10.944333928793704
06029000102,12.244810913315298
06029000200,8.6675889549388
06029000300,-0.5353868785454026
06029000400,-1.9463330990935006
06029000503,-5.16501986958143
06029000504,7.154007316549901
06029000505,3.6530916204283006
06029000506,5.299353112115398
06029000507,4.900324993216508
06029000600,-4.0500592568519025
06029000700,-3.7675045197743984
06029000800,-5.606844258888003
06029000902,-0.6726041067796018
06029000903,-3.5088833154172008
06029000904,-0.43151381112920006
06029000905,-9.049678296407002
06029000906,-5.5777556832576
06029000907,-8.231324477747702
06029000908,0.08716961555549929
06029000909,-1.6074556834066946
06029000910,-3.5963890324764947
06029001000,-3.315535844429199
06029001101,2.6389590788143025
06029001102,-3.821065308784405
06029001103,-7.525710453049797
06029001201,-4.905062076760899
06029001202,-2.0255052026017992
06029001300,2.079071086437203
06029001400,-9.096724773118503
06029001500,8.105296242552306
06029001600,5.494154724111802
06029001700,5.0363892386753975
06029001801,0.1303187016004017
06029001802,5.541602270447498
06029001901,8.702228207939896
06029001902,14.083381939259795
06029002000,6.980128046152593
06029002100,1.6698144432049986
06029002200,6.828641066018903
06029002301,-1.6488924259369995
06029002302,-7.503024679796496
06029002400,-12.817272292499993
06029002500,-2.142632674047377
06029002600,1.8289098330754072
06029002700,4.659719122013996
